Time,LT,Pump_1 [L/m],Pump_2 [L/m],Voltage [V],Current [A],Input_current [A],E_h2_production [mL/0.1s],Power,Pref
04:49.0,0,0,1.7,11.39,26.2,25.4,0.86,298.418,289.306
04:49.1,0,0,1.7,11.4,26.2,25.4,0.86,298.68,289.56
04:49.2,0,0,1.7,11.39,26.2,25.4,0.86,298.418,289.306
04:49.3,0,0,1.7,11.4,26.2,25.4,0.86,298.68,289.56
04:49.4,0,0,1.7,11.4,26.2,25.4,0.86,298.68,289.56
04:49.5,0,0,1.7,11.43,26.1,25.4,0.85,298.323,290.322
04:49.6,0,0,1.7,11.43,26.2,25.4,0.86,299.466,290.322
04:49.7,0,0,1.7,11.44,26.1,25.4,0.85,298.584,290.576
04:49.8,0,0,1.7,11.44,26.2,25.4,0.86,299.728,290.576
04:49.9,0,0,1.7,11.44,26.2,25.4,0.86,299.728,290.576
04:50.0,0,0,1.7,11.44,26.1,25.4,0.85,298.584,290.576
04:50.1,0,0,1.7,11.44,26.2,25.5,0.86,299.728,291.72
04:50.2,0,0,1.7,11.44,26.2,25.5,0.86,299.728,291.72
04:50.3,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:50.4,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:50.5,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:50.6,0,0,1.7,11.45,26.2,25.5,0.86,299.99,291.975
04:50.7,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:50.8,0,0,1.7,11.49,26.2,25.5,0.86,301.038,292.995
04:50.9,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:51.0,0,0,1.7,11.47,26.2,25.5,0.86,300.514,292.485
04:51.1,0,0,1.7,11.49,26.2,25.5,0.86,301.038,292.995
04:51.2,0,0,1.7,11.49,26.1,25.5,0.85,299.889,292.995
04:51.3,0,0,1.7,11.49,26.2,25.5,0.86,301.038,292.995
04:51.4,0,0,1.7,11.5,26.2,25.5,0.86,301.3,293.25
